Topic,Problem,Key Technique,Optimal Complexity,Quick Revision Notes
Arrays I,Set Matrix Zeroes,Use first row/col as markers,"O(m*n), O(1)","Mark using first row and col. Two passes: mark then fill. Handle first row/col separately."
Arrays I,Pascal's Triangle,Pattern recognition,"O(n^2), O(n^2)","Row r has r+1 elements. Each element = nCr. Use prev element * (row-col) / (col+1)."
Arrays I,Next Permutation,Find break point + swap + reverse,"O(n), O(1)","Find rightmost a[i] < a[i+1] (break point). Swap with next larger from right. Reverse suffix."
Arrays I,Kadane's Algorithm,Running sum with reset,"O(n), O(1)","Track maxSum and currentSum. If currentSum < 0 reset to 0. Classic DP pattern."
Arrays I,Sort Colors (DNF),Dutch National Flag 3-pointer,"O(n), O(1)","Three pointers: low mid high. 0→swap(low mid) advance both; 2→swap(mid high) decrement high; 1→advance mid."
Arrays I,Best Time to Buy/Sell Stock,Track minimum price,"O(n), O(1)","Maintain minPrice so far. Profit = price - minPrice. Track max profit."
Arrays II,Rotate Image,Transpose + Reverse rows,"O(n^2), O(1)","Step 1: Transpose matrix (swap [i][j] with [j][i]). Step 2: Reverse each row."
Arrays II,Merge Intervals,Sort + merge overlapping,"O(n log n), O(n)","Sort by start. If current.start <= last.end → merge (extend end). Else add new interval."
Arrays II,Merge Sorted Arrays,Gap method (Shell sort),"O(n log n), O(1)","Gap = ceil((m+n)/2). Compare elements gap-apart and swap if needed. Halve gap each pass."
Arrays II,Find Duplicate,Floyd's Cycle Detection,"O(n), O(1)","Treat array as linked list (val = next). Slow+fast pointers find cycle. Phase 2 finds duplicate."
Arrays II,Repeat and Missing,Math/XOR equations,"O(n), O(1)","Sum and SumSq equations: x-y = diffSum, x^2-y^2 = diffSqSum. Or use XOR approach."
Arrays II,Count Inversions,Merge Sort counting,"O(n log n), O(n)","During merge sort, when right element < left element, inversions += remaining left elements."
Arrays III,Search in 2D Matrix,Binary search on flattened,"O(log(m*n)), O(1)","Treat 2D as 1D. row = mid/cols, col = mid%cols. Or staircase from top-right."
Arrays III,Pow(x n),Binary exponentiation,"O(log n), O(1)","If n odd: result *= x. Always: x *= x, n /= 2. Handle negative n."
Arrays III,Majority Element (N/2),Boyer-Moore Voting,"O(n), O(1)","Count for candidate. If 0 switch candidate. Verify in second pass."
Arrays III,Majority Element (N/3),Extended Boyer-Moore,"O(n), O(1)","At most 2 candidates. Track two candidates with counts. Verify both."
Arrays III,Grid Unique Paths,DP or Combinatorics,"O(m*n) or O(min(m,n)), O(1)","dp[i][j] = dp[i-1][j] + dp[i][j-1]. Or answer = C(m+n-2, m-1)."
Arrays III,Reverse Pairs,Merge Sort counting,"O(n log n), O(n)","Like Count Inversions but condition is nums[i] > 2*nums[j]. Count before merging."
Hashing,2Sum,HashMap stores complement,"O(n), O(n)","For each num check if target-num exists in map. Single pass."
Hashing,4Sum,Sort + fix 2 + two pointers,"O(n^3), O(1)","Fix two elements use two pointers for remaining. Skip duplicates at all levels."
Hashing,Longest Consecutive Sequence,HashSet + find starts,"O(n), O(n)","Add all to HashSet. For each start (no num-1 in set) count consecutive sequence."
Hashing,Largest Subarray with 0 Sum,Prefix sum + HashMap,"O(n), O(n)","prefixSum → first index. If same prefix seen again subarray between has sum 0."
Hashing,Count Subarrays with XOR K,Prefix XOR + HashMap,"O(n), O(n)","If prefixXor ^ K exists in map add its count. Like subarray sum equals K but with XOR."
Hashing,Longest Substring No Repeat,Sliding window + set/map,"O(n), O(min(n,26))","HashMap stores last seen index. If repeated shrink window. Track max length."
LinkedList I,Reverse Linked List,Three pointers (prev curr next),"O(n), O(1)","Iterative: reverse each link. Recursive: reverse rest then fix link."
LinkedList I,Middle of Linked List,Slow-fast pointers,"O(n), O(1)","Slow=1step fast=2steps. When fast hits end slow is at middle."
LinkedList I,Merge Two Sorted Lists,Dummy node + compare,"O(m+n), O(1)","Dummy head. Compare current nodes attach smaller. Attach remaining."
LinkedList I,Remove Nth From End,Two pointer gap,O(L) O(1),"Fast moves n+1 ahead. Both move until fast=null. Slow.next = slow.next.next."
LinkedList I,Delete Given Node,Copy next node trick,"O(1), O(1)","Copy next node's value into current. Skip next node. Only works if not tail."
LinkedList I,Add Two Numbers,Iterate + carry,"O(max(m,n)), O(max(m,n))","Process digits with carry. Continue while any list has nodes OR carry > 0."
LinkedList II,Intersection of Two Lists,Equal distance two pointers,"O(m+n), O(1)","A goes A→B B goes B→A. Both travel m+n. Meet at intersection or both null."
LinkedList II,Detect Cycle,Floyd's Cycle Detection,"O(n), O(1)","Slow=1step fast=2steps. If they meet → cycle. Fast hits null → no cycle."
LinkedList II,Reverse K-Group,Count k + reverse group,"O(n), O(1)","Count k nodes. If enough reverse them. Track prevGroupEnd and connect."
LinkedList II,Palindrome Linked List,Reverse second half,"O(n), O(1)","Find middle → reverse second half → compare both halves → optionally restore."
LinkedList II,Linked List Cycle II,Floyd's Phase 2,"O(n), O(1)","Phase 1: detect meeting point. Phase 2: reset slow to head both move 1 step. Meet at cycle start."
LinkedList II,Flatten Linked List,Merge sorted lists,"O(n*m), O(1)","Merge from right to left using bottom pointers. Like repeated merge-two-sorted."
Two Pointers,Rotate List,Circular + break,"O(n), O(1)","k %= length. Make circular (tail→head). Walk len-k-1 steps. Break at new tail."
Two Pointers,Clone with Random,Interleave nodes,"O(n), O(1)","Interleave clones. Set random pointers. Separate lists. Or use HashMap O(n) space."
Two Pointers,3Sum,Sort + fix one + two ptrs,"O(n^2), O(1)","Sort. Fix one element. Two pointers for other two. Skip duplicates."
Two Pointers,Trapping Rain Water,Two pointer boundaries,"O(n), O(1)","Water at i = min(leftMax rightMax) - height[i]. Move side with smaller height."
Two Pointers,Remove Duplicates,Slow writer + fast scanner,"O(n), O(1)","Slow tracks write position. Fast scans. Copy when nums[fast] != nums[slow]."
Two Pointers,Max Consecutive Ones,Simple counter,"O(n), O(1)","Increment on 1 reset on 0. Track max count."
Greedy,N Meetings / Activity Selection,Sort by end time,"O(n log n), O(n)","Sort by finish time. Greedily pick earliest finishing non-overlapping."
Greedy,Minimum Platforms,Sort + two pointers,"O(n log n), O(1)","Sort arrivals and departures separately. Event simulation with two pointers."
Greedy,Job Sequencing,Sort by profit desc,"O(n^2), O(maxDeadline)","Sort by profit desc. Assign to latest available slot before deadline."
Greedy,Fractional Knapsack,Sort by value/weight ratio,"O(n log n), O(1)","Take items with best ratio first. Take fraction of last item if needed."
Greedy,Minimum Coins,Largest denomination first,"O(amount), O(1)","Use largest coins first. Works for standard denominations only. DP for arbitrary."
Greedy,Activity Selection,Sort by end time (same as N Meetings),"O(n log n), O(n)","Identical to N Meetings. Greedy proof via exchange argument."
Recursion,Subset Sums,Pick / Not Pick,"O(2^n), O(2^n)","At each index include or exclude. Base: add current sum at end."
Recursion,Subsets II,Sort + skip duplicates,"O(2^n * n), O(2^n)","Sort. Skip if i > start && nums[i] == nums[i-1]. Avoids duplicate subsets."
Recursion,Combination Sum,Backtrack with reuse,"O(2^target), O(target)","Pass i (not i+1) to allow reuse. Prune when remaining < 0."
Recursion,Combination Sum II,Sort + skip + no reuse,"O(2^n), O(n)","Pass i+1 (no reuse). Skip duplicates. Prune when candidate > remaining."
Recursion,Palindrome Partitioning,Backtracking with palindrome check,"O(n * 2^n), O(n)","Try each prefix. If palindrome recurse on rest. Base: start == length."
Recursion,Kth Permutation,Factorial number system,"O(n^2), O(n)","k-1 (0-indexed). Digit index = k / (n-1)!. Remove used digit. Update k."
Backtracking,Permutations,Swap-based or visited array,"O(n! * n), O(n)","Swap approach: swap nums[start] with each nums[i]. Recurse on start+1."
Backtracking,N-Queens,Backtracking + HashSet validation,"O(n!), O(n^2)","Place row by row. Check col diagonal (row-col) anti-diagonal (row+col) conflicts."
Backtracking,Sudoku Solver,Try digits 1-9 + validate,"O(9^empty), O(81)","Find empty cell. Try 1-9. Validate row col box. Recurse. Backtrack."
Backtracking,M-Coloring,Try colors 1-m for each node,"O(m^n), O(n)","For each node try each color. Check no adjacent same color. Backtrack."
Backtracking,Rat in a Maze,DFS 4 directions + visited,"O(4^(n*n)), O(n*n)","Move D L R U (lexicographic). Mark visited. Base: reached (n-1 n-1)."
Backtracking,Word Break,DP (can also backtrack),"O(n^2 * m), O(n)","dp[i] = can s[0..i-1] be segmented. Check all splits where dp[j] && s[j..i] in dict."
Binary Search,Nth Root,Binary search on answer,"O(n * log m), O(1)","Search [1 m]. Compute mid^n with overflow protection. Classic BS on answer."
Binary Search,Matrix Median,Binary search on value,"O(r * log(c) * log(max-min)), O(1)","BS on value range. Count elements ≤ mid using upper_bound per row."
Binary Search,Single Element,Pair pattern check,"O(log n), O(1)","Before single: pairs at (even odd). Make mid even. If pair intact → right half."
Binary Search,Search in Rotated,Modified BS on sorted half,"O(log n), O(1)","One half always sorted. Check if target in sorted half's range."
Binary Search,Median of Two Sorted,Partition binary search,"O(log(min(m,n))), O(1)","BS on smaller array. Partition so left has (m+n+1)/2. Check maxLeft ≤ minRight."
Binary Search,Kth Element Two Sorted,Partition with k elements,"O(log(min(m,n))), O(1)","Same as median but target k elements on left. low=max(0 k-n) high=min(k m)."
Binary Search,Allocate Pages,BS on answer + feasibility,"O(n * log(sum-max)), O(1)","Search [max sum]. Check if can allocate with ≤ m students. Minimize maximum."
Binary Search,Aggressive Cows,BS on min distance,"O(n * log(max-min)), O(1)","Search [1 max-min]. Check if can place all cows with ≥ mid distance. Maximize minimum."
Heaps,Heap Implementation,Array-based + bubble up/down,"O(log n) per op, O(n)","Parent=(i-1)/2 Left=2i+1 Right=2i+2. Insert: bubble up. Extract: bubble down."
Heaps,Kth Largest Element,Min-heap of size k,"O(n log k), O(k)","Min-heap keeps k largest. Top = kth largest."
Heaps,K Max Sum Combinations,Max-heap + BFS exploration,"O(K log K), O(K)","Start from (n-1 n-1). Explore (i-1 j) and (i j-1). Track visited."
Heaps,Stream Median,Two heaps (max + min),"O(log n) per add, O(n)","maxHeap=left half minHeap=right half. Balance sizes. Median from tops."
Heaps,Merge K Sorted,Min-heap of (val arr idx),"O(nk log k), O(k)","Heap of size k. Pop smallest push its successor."
Heaps,K Most Frequent,Frequency map + min-heap k,"O(n log k), O(n)","HashMap for frequency. Min-heap of size k keeps k most frequent."
Stack/Queue I,Stack Using Array,Array + top pointer,"O(1) per op, O(n)","Push: arr[++top]. Pop: arr[top--]. Simple LIFO."
Stack/Queue I,Queue Using Array,Circular array + front/rear,"O(1) per op, O(n)","Circular: rear = (rear+1) % size. front = (front+1) % size."
Stack/Queue I,Stack Using Queue,Queue rotation on push,"O(n) push O(1) pop, O(n)","After enqueue rotate n-1 elements to front."
Stack/Queue I,Queue Using Stacks,Two stacks lazy transfer,"Amortized O(1), O(n)","Push to pushStack. Pop: if popStack empty transfer all. Then pop."
Stack/Queue I,Valid Parentheses,Stack matching,"O(n), O(n)","Push opening brackets. Pop and match on closing. Must be empty at end."
Stack/Queue I,Next Greater Element,Monotonic stack right-to-left,"O(n), O(n)","Traverse right to left. Pop while stack.top ≤ current. Stack.top = NGE."
Stack/Queue I,Sort Stack,Recursive insert-sorted,"O(n^2), O(n)","Pop top sort rest insert top in sorted position."
Stack/Queue II,Next Smaller Element,Monotonic increasing stack,"O(n), O(n)","Like NGE but find smaller. Use increasing stack."
Stack/Queue II,LRU Cache,HashMap + Doubly Linked List,"O(1) get/put, O(capacity)","Map key→node. DLL for ordering. Most recent at front evict from tail."
Stack/Queue II,LFU Cache,HashMap + Freq Map + DLL per freq,"O(1) get/put, O(capacity)","Track min frequency. Evict LRU at min frequency."
Stack/Queue II,Largest Rect Histogram,Monotonic stack of indices,"O(n), O(n)","Pop when shorter bar found. Width = i - stack.peek - 1. Track max area."
Stack/Queue II,Sliding Window Max,Deque decreasing order,"O(n), O(k)","Remove expired from front. Remove smaller from back. Front = max."
Stack/Queue II,Min Stack,Encode min in value,"O(1) all ops, O(n)","Store val-min. If stored < 0 current was new min. Restore old min on pop."
Stack/Queue II,Rotten Oranges,Multi-source BFS,"O(m*n), O(m*n)","Start BFS from all rotten. Level = time. Count remaining fresh."
Stack/Queue II,Stock Span,Monotonic stack of indices,"O(n), O(n)","Previous Greater Element variant. Span = i - index of previous greater."
Stack/Queue II,Celebrity Problem,Stack elimination,"O(n), O(n)","Eliminate: if A knows B → A not celebrity. Last candidate → verify."
Strings I,Reverse Words,Split + Reverse,"O(n), O(n)","Split by spaces reverse array join. Or reverse entire string then each word."
Strings I,Longest Palindromic Substring,Expand around center,"O(n^2), O(1)","Try each char (odd) and pair (even) as center. Expand while matching."
Strings I,Roman to Integer,Map + subtraction rule,"O(n), O(1)","If current < next → subtract. Else add. Map: I=1 V=5 X=10 etc."
Strings I,ATOI,Skip whitespace parse digits clamp,"O(n), O(1)","Skip spaces → check sign → parse digits → clamp to INT_MIN/MAX."
Strings I,Longest Common Prefix,Shrink prefix,"O(n * m), O(1)","Start with first string. Shrink until all strings match the prefix."
Strings I,Rabin-Karp,Rolling hash pattern matching,"O(n+m) avg, O(1)","Hash match → verify. Remove leftmost char add rightmost. Modular arithmetic."
Strings II,Z-Function,Prefix match length array,"O(n), O(n)","Z[i] = longest prefix match starting at i. Pattern matching: pat$text."
Strings II,KMP Algorithm,LPS/failure function,"O(n+m), O(m)","Build LPS array. On mismatch jump to lps[j-1] instead of start. No backtracking."
Strings II,Min Chars for Palindrome,KMP on s + $ + reverse(s),"O(n), O(n)","LPS on s$reverse(s). Answer = n - lps[last]. Chars to prepend."
Strings II,Check Anagrams,Frequency count,"O(n), O(1)","int[26] array. Increment for s decrement for t. All must be 0."
Strings II,Count and Say,Iterative string building,"O(2^n), O(2^n)","Read previous term: count consecutive same digits. Build next."
Strings II,Compare Version Numbers,Split + parse integers,"O(n), O(n)","Split by dot. Compare each part as integer.Handle different lengths."
Binary Tree I,Traversals (In/Pre/Post),Recursive/Iterative,"O(n), O(h)","Inorder: Left Root Right. Preorder: Root Left Right. Postorder: Left Right Root."
Binary Tree I,Left View,DFS first node per level,"O(n), O(h)","DFS with level tracking. Add to result if level == result.Count."
Binary Tree I,Right View,DFS visiting right first,"O(n), O(h)","Same as Left View but visit right subtree first."
Binary Tree I,"Top/Bottom View",BFS with horizontal distance,"O(n), O(n)","Top: first at each HD. Bottom: last at each HD. BFS with SortedDictionary."
Binary Tree I,Level Order,BFS with queue,"O(n), O(n)","Process queue level by level using size variable."
Binary Tree I,Max Width,BFS with node indexing,"O(n), O(n)","Index nodes: left=2i+1 right=2i+2. Width = last-first+1. Normalize indices."
Binary Tree II,Height,Recursive max(left right)+1,"O(n), O(h)","Base: null → 0. Height = 1 + max(leftH rightH)."
Binary Tree II,Diameter,Track leftH+rightH at each node,"O(n), O(h)","Diameter = max(lh+rh) across all nodes. Compute during height calculation."
Binary Tree II,Balanced Check,Height with -1 for invalid,"O(n), O(h)","Return -1 if |lh-rh| > 1 at any node. Propagate -1 upward."
Binary Tree II,LCA,Recursive split detection,"O(n), O(h)","If found in both subtrees → current is LCA. One side null → other side."
Binary Tree II,Same Tree,Recursive compare,"O(n), O(h)","Both null→true one null→false. Compare val + recurse both children."
Binary Tree II,Zig-Zag Traversal,BFS + alternate direction,"O(n), O(n)","Level order but alternate left-to-right and right-to-left insertion."
Binary Tree II,Morris Inorder,Threading O(1) space,"O(n), O(1)","Thread predecessor's right to current. Unthread after second visit."
Binary Tree III,Max Path Sum,DFS tracking max gain,"O(n), O(h)","maxGain = max(0 left) + max(0 right) + val. Return single branch."
Binary Tree III,Build BT from Pre+In,Preorder=root Inorder=split,"O(n), O(n)","HashMap for inorder index. Preorder gives root. Split left/right."
Binary Tree III,Build BT from In+Post,Postorder=root (last) build right first,"O(n), O(n)","Same pattern but build RIGHT subtree first (postorder goes right-to-left)."
Binary Tree III,Symmetric / Mirror,Compare left-left↔right-right vs left-right↔right-left,"O(n), O(h)","IsMirror(left.left right.right) AND IsMirror(left.right right.left)."
Binary Tree III,Flatten to LL,Morris-like predecessor threading,"O(n), O(1)","Find left subtree's rightmost. Connect to right child. Move left to right."
BST I,Search BST,BST property traversal,"O(h), O(1)","Go left if val < root right if val > root. O(log n) balanced O(n) skewed."
BST I,Validate BST,Range checking (min max),"O(n), O(h)","Every node in valid range. Use long for boundaries."
BST I,LCA of BST,Iterative split detection,"O(h), O(1)","Both < root → left. Both > root → right. Split → LCA. Iterative!"
BST I,BST from Preorder,Upper bound technique,"O(n), O(n)","Pass upper bound. If preorder[idx] > bound → null. Build left then right."
BST I,Predecessor / Successor,BST traversal,"O(h), O(1)","Pred: rightmost in left subtree. Succ: leftmost in right subtree."
BST I,BST Iterator,Controlled stack inorder,"O(1) amortized, O(h)","Push all lefts. Next: pop push right's lefts. Amortized O(1)."
BST II,Floor in BST,Track candidate go right,"O(h), O(1)","If val < key → candidate update go right. If val > key → go left."
BST II,Ceil in BST,Track candidate go left,"O(h), O(1)","If val > key → candidate update go left. If val < key → go right."
BST II,Kth Smallest,Iterative inorder stop at k,"O(h+k), O(h)","Stack-based inorder. Decrement k on each pop. Stop when k=0."
BST II,Kth Largest,Reverse inorder stop at k,"O(h+k), O(h)","Go right first (reverse inorder). Decrement k. Stop when k=0."
BST II,Two Sum BST,Inorder + two pointers,"O(n), O(n)","Inorder gives sorted array. Use two pointers from both ends."
BST II,Largest BST in BT,Bottom-up (size min max),"O(n), O(h)","For each subtree track (size min max). Valid if left.max < val < right.min."
BST II,Serialize / Deserialize,Preorder with null markers,"O(n), O(n)","Serialize: preorder with 'null'. Deserialize: queue-based recursive."
Graph I,DFS,Recursive/Stack,"O(V+E), O(V)","Visit node mark visited recurse on unvisited neighbors."
Graph I,BFS,Queue-based level exploration,"O(V+E), O(V)","Enqueue start. Dequeue process enqueue unvisited neighbors."
Graph I,Cycle in Undirected,DFS with parent tracking,"O(V+E), O(V)","Visited neighbor ≠ parent → cycle. Check all components."
Graph I,Cycle in Directed,DFS with path-visited array,"O(V+E), O(V)","pathVisited (in current DFS path). Back edge = cycle. Reset pathVisited on backtrack."
Graph I,Topological Sort (Kahn's),BFS with indegree,"O(V+E), O(V)","Process indegree-0 nodes. Decrement neighbors' indegree. Enqueue new indegree-0."
Graph I,Number of Islands,DFS/BFS flood fill,"O(m*n), O(m*n)","Count connected components of '1'. Mark visited by changing to '0'."
Graph I,Dijkstra,Min-heap + relaxation,"O((V+E) log V), O(V)","No negative weights. Relax edges from cheapest unvisited. PriorityQueue."
Graph I,Bellman-Ford,V-1 edge relaxation passes,"O(VE), O(V)","Handles negative weights. V-1 passes. Extra pass detects negative cycle."
Graph II,Floyd Warshall,All-pairs via intermediate nodes,"O(V^3), O(V^2)","For each k: dist[i][j] = min(dist[i][j] dist[i][k]+dist[k][j])."
Graph II,Prim's MST,Min-heap greedy edge selection,"O((V+E) log V), O(V)","Start from any node. Add cheapest edge to MST. Mark nodes."
Graph II,Kruskal's MST,Sort edges + Union-Find,"O(E log E), O(V)","Sort all edges by weight. Add edge if endpoints in different components (Union-Find)."
Graph II,Tarjan's Bridges,DFS with discovery/low time,"O(V+E), O(V)","Edge (u v) is bridge if low[v] > disc[u]. Track disc[] and low[]."
DP I,Max Product Subarray,Track max and min product,"O(n), O(1)","Swap max/min before negative. maxProd = max(num num*maxProd)."
DP I,LIS,Binary search on tails,"O(n log n), O(n)","Maintain tails[] of smallest end elements. Binary search position for each element."
DP I,LCS,2D DP table,"O(m*n), O(m*n)","Match→dp[i-1][j-1]+1. Else max(dp[i-1][j] dp[i][j-1])."
DP I,0/1 Knapsack,Take or skip each item,"O(n*W), O(n*W)","dp[i][w] = max(skip take). Take: dp[i-1][w-weight]+value."
DP I,Edit Distance,Insert/Delete/Replace DP,"O(m*n), O(m*n)","Match→dp[i-1][j-1]. Else 1+min(ins del rep). Base: dp[i][0]=i dp[0][j]=j."
DP I,Max Sum Increasing Subseq,LIS variant tracking sums,"O(n^2), O(n)","dp[i] = max(arr[i] dp[j]+arr[i]) for j < i where arr[j] < arr[i]."
DP I,Matrix Chain Multiplication,Interval DP all split points,"O(n^3), O(n^2)","dp[i][j] = min over k of dp[i][k]+dp[k+1][j]+dims[i]*dims[k+1]*dims[j+1]."
DP II,Min Path Sum in Grid,DP top-down or in-place,"O(m*n), O(1)","dp[i][j] += min(top left). Can modify grid in-place."
DP II,Coin Change,Unbounded knapsack,"O(amount * coins), O(amount)","dp[i] = min(dp[i] dp[i-coin]+1). Initialize with infinity. dp[0]=0."
DP II,Subset Sum,0/1 knapsack boolean,"O(n * target), O(target)","dp[s] = dp[s] || dp[s-num]. Iterate backwards to prevent reuse."
DP II,Rod Cutting,Unbounded knapsack variant,"O(n^2), O(n)","dp[i] = max(price[j] + dp[i-j-1]) for j=0..i-1."
DP II,Egg Dropping,DP + binary search,"O(k * n * log n), O(k*n)","dp[eggs][floors]. BS on floor to drop: balance break/survive."
DP II,Palindrome Partitioning II,Precompute isPalin + DP,"O(n^2), O(n^2)","Precompute palindrome matrix. dp[i] = min cuts for s[0..i]."
DP II,Partition Equal Subset,Subset Sum with target=sum/2,"O(n * sum), O(sum)","If sum odd → false. Else solve Subset Sum for sum/2."
Trie,Implement Trie,26-children nodes + isEnd flag,"O(word length) per op, O(total chars)","Insert: create missing nodes. Search: traverse must end at isEnd. StartsWith: traverse only."
Trie,Trie with Count,wordCount + prefixCount per node,"O(word length) per op, O(total chars)","Increment prefixCount on insert path. wordCount at end. Supports count queries."
Trie,Longest Word All Prefixes,Insert all + check every prefix,"O(n * L^2), O(total chars)","Insert all words. For each word check all prefixes exist as words."
Trie,Count Distinct Substrings,Insert all suffixes,"O(n^2), O(n^2)","Each new Trie node = new distinct substring."
Trie,Max XOR Two Numbers,Bit-Trie (0/1),"O(n * 32), O(n * 32)","Insert all as 32-bit. For each num greedily go opposite bit for max XOR."
